ga:country,ga:region,ga:city,ga:users
Bulgaria,Sofia-city,Sofia,1
Brazil,State of Goias,Anapolis,1
Brazil,Sao Paulo,Cubatao,1
Brazil,Sao Paulo,Elias Fausto,1
Brazil,Sao Paulo,Indaiatuba,1
Brazil,Sao Paulo,Presidente Prudente,1
Brazil,Sao Paulo,Sao Jose dos Campos,1
Brazil,Sao Paulo,Sertaozinho,1
Brazil,Sao Paulo,Taubate,1
Brazil,Santa Catarina,Criciuma,1
Brazil,Rio de Janeiro,Sao Goncalo,1
Brazil,Rio de Janeiro,Volta Redonda,1
Brazil,Pernambuco,Recife,1
Brazil,Parana,Curitiba,1
Brazil,Minas Gerais,Belo Horizonte,1
Brazil,Minas Gerais,Para de Minas,1
Brazil,Mato Grosso,(not set),1
Brazil,Espirito Santo,Vitoria,1
Brazil,Ceara,Fortaleza,1
Brazil,Bahia,Salvador,1
Belarus,Belarus,Belarus,1
Argentina,Tucuman,San Miguel de Tucuman,1
Argentina,Santa Fe Province,Rosario,1
Argentina,Autonomous City of Buenos Aires,Buenos Aires,1
